UU;Bab;State;Pasal;Ayat;Angka;Huruf;Paragraf;Isi;Isi_lower;Isi_Processed;Isi_Tokenized;Isi_Tokenized_Joined;Isi_Stemmed
KUP;KETENTUAN UMUM;Pasal;1;0;0;0;0;Dalam Undang-Undang ini yang dimaksud dengan:;dalam undang-undang ini yang dimaksud dengan:;dalam undang undang ini yang dimaksud dengan;['dalam', 'undang', 'undang', 'ini', 'yang', 'dimaksud', 'dengan'];dalam undang undang ini yang dimaksud dengan;dalam undang undang ini yang maksud dengan
KUP;KETENTUAN UMUM;Pasal;1;0;1;0;0;Pajak adalah kontribusi wajib kepada negara yang terutang oleh orang pribadi atau badan yang bersifat memaksa berdasarkan Undang-Undang, dengan tidak mendapatkan imbalan secara langsung dan digunakan untuk keperluan negara bagi sebesar-besarnya kemakmuran rakyat.;pajak adalah kontribusi wajib kepada negara yang terutang oleh orang pribadi atau badan yang bersifat memaksa berdasarkan undang-undang, dengan tidak mendapatkan imbalan secara langsung dan digunakan untuk keperluan negara bagi sebesar-besarnya kemakmuran rakyat.;pajak adalah kontribusi wajib kepada negara yang terutang oleh orang pribadi atau badan yang bersifat memaksa berdasarkan undang undang dengan tidak mendapatkan imbalan secara langsung dan digunakan untuk keperluan negara bagi sebesar besarnya kemakmuran rakyat;['pajak', 'adalah', 'kontribusi', 'wajib', 'kepada', 'negara', 'yang', 'terutang', 'oleh', 'orang', 'pribadi', 'atau', 'badan', 'yang', 'bersifat', 'memaksa', 'berdasarkan', 'undang', 'undang', 'dengan', 'tidak', 'mendapatkan', 'imbalan', 'secara', 'langsung', 'dan', 'digunakan', 'untuk', 'keperluan', 'negara', 'bagi', 'sebesar', 'besarnya', 'kemakmuran', 'rakyat'];pajak adalah kontribusi wajib kepada negara yang terutang oleh orang pribadi atau badan yang bersifat memaksa berdasarkan undang undang dengan tidak mendapatkan imbalan secara langsung dan digunakan untuk keperluan negara bagi sebesar besarnya kemakmuran rakyat;pajak adalah kontribusi wajib kepada negara yang utang oleh orang pribadi atau badan yang sifat paksa dasar undang undang dengan tidak dapat imbal cara langsung dan guna untuk perlu negara bagi besar besar makmur rakyat
KUP;KETENTUAN UMUM;Pasal;1;0;2;0;0;Wajib Pajak adalah orang pribadi atau badan, meliputi pembayar pajak, pemotong pajak, dan pemungut pajak, yang mempunyai hak dan kewajiban perpajakan sesuai dengan ketentuan peraturan perundang-undangan perpajakan.;wajib pajak adalah orang pribadi atau badan, meliputi pembayar pajak, pemotong pajak, dan pemungut pajak, yang mempunyai hak dan kewajiban perpajakan sesuai dengan ketentuan peraturan perundang-undangan perpajakan.;wajib pajak adalah orang pribadi atau badan meliputi pembayar pajak pemotong pajak dan pemungut pajak yang mempunyai hak dan kewajiban perpajakan sesuai dengan ketentuan peraturan perundang undangan perpajakan;['wajib', 'pajak', 'adalah', 'orang', 'pribadi', 'atau', 'badan', 'meliputi', 'pembayar', 'pajak', 'pemotong', 'pajak', 'dan', 'pemungut', 'pajak', 'yang', 'mempunyai', 'hak', 'dan', 'kewajiban', 'perpajakan', 'sesuai', 'dengan', 'ketentuan', 'peraturan', 'perundang', 'undangan', 'perpajakan'];wajib pajak adalah orang pribadi atau badan meliputi pembayar pajak pemotong pajak dan pemungut pajak yang mempunyai hak dan kewajiban perpajakan sesuai dengan ketentuan peraturan perundang undangan perpajakan;wajib pajak adalah orang pribadi atau badan liput bayar pajak potong pajak dan mungut pajak yang punya hak dan wajib paja sesuai dengan tentu atur undang undang paja
KUP;KETENTUAN UMUM;Pasal;1;0;3;0;0;Badan adalah sekumpulan orang dan/atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas, perseroan komanditer, perseroan lainnya, badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun, firma, kongsi, koperasi, dana pensiun, persekutuan, perkumpulan, yayasan, organisasi massa, organisasi sosial politik, atau organisasi lainnya, lembaga dan bentuk badan lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap.;badan adalah sekumpulan orang dan/atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas, perseroan komanditer, perseroan lainnya, badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun, firma, kongsi, koperasi, dana pensiun, persekutuan, perkumpulan, yayasan, organisasi massa, organisasi sosial politik, atau organisasi lainnya, lembaga dan bentuk badan lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap.;badan adalah sekumpulan orang dan atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas perseroan komanditer perseroan lainnya badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun firma kongsi koperasi dana pensiun persekutuan perkumpulan yayasan organisasi massa organisasi sosial politik atau organisasi lainnya lembaga dan bentuk badan lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap;['badan', 'adalah', 'sekumpulan', 'orang', 'dan', 'atau', 'modal', 'yang', 'merupakan', 'kesatuan', 'baik', 'yang', 'melakukan', 'usaha', 'maupun', 'yang', 'tidak', 'melakukan', 'usaha', 'yang', 'meliputi', 'perseroan', 'terbatas', 'perseroan', 'komanditer', 'perseroan', 'lainnya', 'badan', 'usaha', 'milik', 'negara', 'atau', 'badan', 'usaha', 'milik', 'daerah', 'dengan', 'nama', 'dan', 'dalam', 'bentuk', 'apa', 'pun', 'firma', 'kongsi', 'koperasi', 'dana', 'pensiun', 'persekutuan', 'perkumpulan', 'yayasan', 'organisasi', 'massa', 'organisasi', 'sosial', 'politik', 'atau', 'organisasi', 'lainnya', 'lembaga', 'dan', 'bentuk', 'badan', 'lainnya', 'termasuk', 'kontrak', 'investasi', 'kolektif', 'dan', 'bentuk', 'usaha', 'tetap'];badan adalah sekumpulan orang dan atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas perseroan komanditer perseroan lainnya badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun firma kongsi koperasi dana pensiun persekutuan perkumpulan yayasan organisasi massa organisasi sosial politik atau organisasi lainnya lembaga dan bentuk badan lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap;badan adalah kumpul orang dan atau modal yang rupa satu baik yang laku usaha maupun yang tidak laku usaha yang liput persero batas persero komanditer persero lain badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun firma kongsi koperasi dana pensiun sekutu kumpul yayasan organisasi massa organisasi sosial politik atau organisasi lain lembaga dan bentuk badan lain masuk kontrak investasi kolektif dan bentuk usaha tetap
KUP;KETENTUAN UMUM;Pasal;1;0;4;0;0;Pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaannya menghasilkan barang, mengimpor barang, mengekspor barang, melakukan usaha perdagangan, memanfaatkan barang tidak berwujud dari luar daerah pabean, melakukan usaha jasa, atau memanfaatkan jasa dari luar daerah pabean.;pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaannya menghasilkan barang, mengimpor barang, mengekspor barang, melakukan usaha perdagangan, memanfaatkan barang tidak berwujud dari luar daerah pabean, melakukan usaha jasa, atau memanfaatkan jasa dari luar daerah pabean.;pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaannya menghasilkan barang mengimpor barang mengekspor barang melakukan usaha perdagangan memanfaatkan barang tidak berwujud dari luar daerah pabean melakukan usaha jasa atau memanfaatkan jasa dari luar daerah pabean;['pengusaha', 'adalah', 'orang', 'pribadi', 'atau', 'badan', 'dalam', 'bentuk', 'apa', 'pun', 'yang', 'dalam', 'kegiatan', 'usaha', 'atau', 'pekerjaannya', 'menghasilkan', 'barang', 'mengimpor', 'barang', 'mengekspor', 'barang', 'melakukan', 'usaha', 'perdagangan', 'memanfaatkan', 'barang', 'tidak', 'berwujud', 'dari', 'luar', 'daerah', 'pabean', 'melakukan', 'usaha', 'jasa', 'atau', 'memanfaatkan', 'jasa', 'dari', 'luar', 'daerah', 'pabean'];pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaannya menghasilkan barang mengimpor barang mengekspor barang melakukan usaha perdagangan memanfaatkan barang tidak berwujud dari luar daerah pabean melakukan usaha jasa atau memanfaatkan jasa dari luar daerah pabean;usaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam giat usaha atau kerja hasil barang impor barang ekspor barang laku usaha dagang manfaat barang tidak wujud dari luar daerah pabean laku usaha jasa atau manfaat jasa dari luar daerah pabean
KUP;KETENTUAN UMUM;Pasal;1;0;5;0;0;Pengusaha Kena Pajak adalah Pengusaha yang melakukan penyerahan Barang Kena Pajak dan/atau penyerahan Jasa Kena Pajak yang dikenai pajak berdasarkan Undang-Undang Pajak Pertambahan Nilai 1984 dan perubahannya.;pengusaha kena pajak adalah pengusaha yang melakukan penyerahan barang kena pajak dan/atau penyerahan jasa kena pajak yang dikenai pajak berdasarkan undang-undang pajak pertambahan nilai 1984 dan perubahannya.;pengusaha kena pajak adalah pengusaha yang melakukan penyerahan barang kena pajak dan atau penyerahan jasa kena pajak yang dikenai pajak berdasarkan undang undang pajak pertambahan nilai   dan perubahannya;['pengusaha', 'kena', 'pajak', 'adalah', 'pengusaha', 'yang', 'melakukan', 'penyerahan', 'barang', 'kena', 'pajak', 'dan', 'atau', 'penyerahan', 'jasa', 'kena', 'pajak', 'yang', 'dikenai', 'pajak', 'berdasarkan', 'undang', 'undang', 'pajak', 'pertambahan', 'nilai', 'dan', 'perubahannya'];pengusaha kena pajak adalah pengusaha yang melakukan penyerahan barang kena pajak dan atau penyerahan jasa kena pajak yang dikenai pajak berdasarkan undang undang pajak pertambahan nilai dan perubahannya;usaha kena pajak adalah usaha yang laku serah barang kena pajak dan atau serah jasa kena pajak yang kena pajak dasar undang undang pajak tambah nilai dan ubah
KUP;KETENTUAN UMUM;Pasal;1;0;6;0;0;Nomor Pokok Wajib Pajak adalah nomor yang diberikan kepada Wajib Pajak sebagai sarana dalam administrasi perpajakan yang dipergunakan sebagai tanda pengenal diri atau identitas Wajib Pajak dalam melaksanakan hak dan kewajiban perpajakannya.;nomor pokok wajib pajak adalah nomor yang diberikan kepada wajib pajak sebagai sarana dalam administrasi perpajakan yang dipergunakan sebagai tanda pengenal diri atau identitas wajib pajak dalam melaksanakan hak dan kewajiban perpajakannya.;nomor pokok wajib pajak adalah nomor yang diberikan kepada wajib pajak sebagai sarana dalam administrasi perpajakan yang dipergunakan sebagai tanda pengenal diri atau identitas wajib pajak dalam melaksanakan hak dan kewajiban perpajakannya;['nomor', 'pokok', 'wajib', 'pajak', 'adalah', 'nomor', 'yang', 'diberikan', 'kepada', 'wajib', 'pajak', 'sebagai', 'sarana', 'dalam', 'administrasi', 'perpajakan', 'yang', 'dipergunakan', 'sebagai', 'tanda', 'pengenal', 'diri', 'atau', 'identitas', 'wajib', 'pajak', 'dalam', 'melaksanakan', 'hak', 'dan', 'kewajiban', 'perpajakannya'];nomor pokok wajib pajak adalah nomor yang diberikan kepada wajib pajak sebagai sarana dalam administrasi perpajakan yang dipergunakan sebagai tanda pengenal diri atau identitas wajib pajak dalam melaksanakan hak dan kewajiban perpajakannya;nomor pokok wajib pajak adalah nomor yang beri kepada wajib pajak bagai sarana dalam administrasi paja yang guna bagai tanda kenal diri atau identitas wajib pajak dalam laksana hak dan wajib paja
KUP;KETENTUAN UMUM;Pasal;1;0;7;0;0;Masa Pajak adalah jangka waktu yang menjadi dasar bagi Wajib Pajak untuk menghitung, menyetor, dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam Undang-Undang ini.;masa pajak adalah jangka waktu yang menjadi dasar bagi wajib pajak untuk menghitung, menyetor, dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam undang-undang ini.;masa pajak adalah jangka waktu yang menjadi dasar bagi wajib pajak untuk menghitung menyetor dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam undang undang ini;['masa', 'pajak', 'adalah', 'jangka', 'waktu', 'yang', 'menjadi', 'dasar', 'bagi', 'wajib', 'pajak', 'untuk', 'menghitung', 'menyetor', 'dan', 'melaporkan', 'pajak', 'yang', 'terutang', 'dalam', 'suatu', 'jangka', 'waktu', 'tertentu', 'sebagaimana', 'ditentukan', 'dalam', 'undang', 'undang', 'ini'];masa pajak adalah jangka waktu yang menjadi dasar bagi wajib pajak untuk menghitung menyetor dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam undang undang ini;masa pajak adalah jangka waktu yang jadi dasar bagi wajib pajak untuk hitung setor dan lapor pajak yang utang dalam suatu jangka waktu tentu bagaimana tentu dalam undang undang ini
KUP;KETENTUAN UMUM;Pasal;1;0;8;0;0;Tahun Pajak adalah jangka waktu 1 (satu) tahun kalender kecuali bila Wajib Pajak menggunakan tahun buku yang tidak sama dengan tahun kalender.;tahun pajak adalah jangka waktu 1 (satu) tahun kalender kecuali bila wajib pajak menggunakan tahun buku yang tidak sama dengan tahun kalender.;tahun pajak adalah jangka waktu   satu tahun kalender kecuali bila wajib pajak menggunakan tahun buku yang tidak sama dengan tahun kalender;['tahun', 'pajak', 'adalah', 'jangka', 'waktu', 'satu', 'tahun', 'kalender', 'kecuali', 'bila', 'wajib', 'pajak', 'menggunakan', 'tahun', 'buku', 'yang', 'tidak', 'sama', 'dengan', 'tahun', 'kalender'];tahun pajak adalah jangka waktu satu tahun kalender kecuali bila wajib pajak menggunakan tahun buku yang tidak sama dengan tahun kalender;tahun pajak adalah jangka waktu satu tahun kalender kecuali bila wajib pajak guna tahun buku yang tidak sama dengan tahun kalender
KUP;KETENTUAN UMUM;Pasal;1;0;9;0;0;Bagian Tahun Pajak adalah bagian dari jangka waktu 1 (satu) Tahun Pajak.;bagian tahun pajak adalah bagian dari jangka waktu 1 (satu) tahun pajak.;bagian tahun pajak adalah bagian dari jangka waktu   satu tahun pajak;['bagian', 'tahun', 'pajak', 'adalah', 'bagian', 'dari', 'jangka', 'waktu', 'satu', 'tahun', 'pajak'];bagian tahun pajak adalah bagian dari jangka waktu satu tahun pajak;bagi tahun pajak adalah bagi dari jangka waktu satu tahun pajak
